iter	Passed	Remaining
414	3939	15045
415	3946	15025
416	3953	15006
417	3959	14985
418	3966	14966
419	3973	14946
420	3980	14927
421	3986	14907
422	3993	14889
423	4000	14871
424	4007	14851
425	4014	14832
426	4021	14813
427	4028	14794
428	4034	14775
429	4041	14757
430	4048	14738
431	4055	14719
432	4061	14699
433	4068	14680
434	4077	14668
435	4085	14655
436	4094	14643
437	4101	14627
438	4109	14612
439	4117	14596
440	4124	14580
441	4131	14563
442	4139	14547
443	4146	14531
444	4153	14514
445	4161	14499
446	4168	14482
447	4175	14466
448	4183	14450
449	4190	14433
450	4198	14419
451	4205	14402
452	4212	14385
453	4219	14369
454	4226	14353
455	4234	14337
456	4241	14320
457	4252	14318
458	4260	14304
459	4267	14287
460	4275	14271
461	4282	14255
462	4289	14239
463	4296	14223
464	4304	14208
465	4311	14193
466	4320	14182
467	4331	14179
468	4338	14162
469	4345	14144
470	4352	14129
471	4359	14111
472	4365	14093
473	4372	14076
474	4379	14059
475	4385	14041
476	4392	14024
477	4400	14010
478	4433	14079
479	4446	14082
480	4458	14081
481	4467	14071
482	4475	14056
483	4481	14038
484	4489	14025
485	4496	14007
486	4503	13991
487	4510	13974
488	4517	13959
489	4524	13942
490	4531	13928
491	4539	13913
492	4546	13896
493	4552	13879
494	4559	13862
495	4565	13844
496	4572	13828
497	4582	13820
498	4590	13807
499	4596	13790
500	4603	13773
501	4611	13760
502	4618	13744
503	4625	13728
504	4632	13712
505	4639	13697
506	4646	13681
507	4652	13665
508	4659	13648
509	4666	13632
510	4672	13616
511	4679	13599
512	4686	13584
513	4693	13568
514	4699	13552
515	4706	13536
516	4713	13520
517	4720	13504
518	4727	13489
519	4733	13473
520	4740	13456
521	4748	13445
522	4755	13431
523	4763	13418
524	4771	13404
525	4778	13391
526	4786	13378
527	4793	13364
528	4801	13350
529	4808	13336
530	4815	13322
531	4824	13312
532	4833	13304
533	4841	13290
534	4848	13275
535	4856	13264
536	4866	13257
537	4875	13248
538	4884	13240
539	4892	13227
540	4900	13215
541	4907	13202
542	4916	13192
543	4924	13179
544	4931	13165
545	4938	13151
546	4945	13137
547	4952	13123
548	4960	13111
549	4968	13097
550	4975	13083
551	4982	13069
552	4989	13056
553	4997	13043
554	5004	13029
555	5011	13015
556	5019	13002
557	5026	12988
558	5033	12974
559	5040	12962
560	5048	12948
561	5055	12934
562	5062	12921
563	5071	12913
564	5081	12907
565	5089	12893
566	5096	12880
567	5103	12866
568	5110	12852
569	5117	12839
570	5124	12825
571	5132	12812
572	5139	12799
573	5146	12786
574	5153	12772
575	5161	12759
576	5194	12809
577	5210	12818
578	5220	12811
579	5228	12801
580	5236	12790
581	5244	12778
582	5251	12764
583	5259	12752
584	5266	12738
585	5273	12725
586	5280	12711
587	5288	12699
588	5295	12685
589	5303	12673
590	5310	12660
591	5319	12651
592	5328	12643
593	5336	12630
594	5343	12617
595	5350	12603
596	5357	12590
597	5365	12578
598	5372	12564
599	5380	12554
600	5387	12541
601	5394	12528
602	5401	12514
603	5409	12503
604	5416	12490
605	5424	12477
606	5431	12465
607	5438	12452
608	5446	12439
609	5453	12426
610	5460	12413
611	5469	12404
612	5476	12391
613	5484	12379
614	5491	12367
615	5499	12354
616	5506	12341
617	5513	12329
618	5520	12317
619	5528	12305
620	5535	12292
621	5542	12279
622	5550	12267
623	5557	12255
624	5565	12243
625	5573	12232
626	5583	12227
627	5592	12218
628	5599	12205
629	5607	12193
630	5614	12180
631	5621	12167
632	5628	12155
633	5636	12143
634	5643	12130
635	5650	12118
636	5657	12106
637	5665	12094
638	5672	12081
639	5679	12069
640	5686	12057
641	5694	12044
642	5701	12032
643	5708	12019
644	5717	12010
645	5729	12009
646	5740	12004
647	5750	11997
648	5759	11989
649	5767	11979
650	5775	11967
651	5783	11956
652	5790	11944
653	5798	11934
654	5806	11922
655	5814	11911
656	5821	11899
657	5831	11894
658	5840	11884
659	5847	11872
660	5854	11859
661	5861	11847
662	5870	11837
663	5877	11825
664	5885	11814
665	5892	11802
666	5899	11790
667	5906	11778
668	5913	11765
669	5921	11753
670	5928	11741
671	5935	11729
672	5942	11717
673	5949	11705
674	5956	11692
675	5964	11681
676	5971	11669
677	5979	11658
678	5985	11645
679	5993	11634
680	6000	11621
681	6008	11611
682	6016	11600
683	6023	11588
684	6030	11576
685	6037	11565
686	6045	11553
687	6052	11541
688	6059	11528
689	6068	11520
690	6099	11553
691	6107	11544
692	6116	11535
693	6123	11524
694	6130	11511
695	6137	11499
696	6144	11486
697	6150	11473
698	6157	11460
699	6165	11449
700	6171	11436
701	6178	11423
702	6185	11411
703	6191	11398
704	6198	11385
705	6204	11372
706	6211	11360
707	6218	11347
708	6225	11336
709	6232	11324
710	6239	11312
711	6247	11301
712	6254	11289
713	6261	11277
714	6268	11266
715	6275	11254
716	6282	11242
717	6290	11231
718	6297	11219
719	6304	11207
720	6311	11196
721	6318	11184
722	6325	11173
723	6334	11164
724	6344	11157
725	6352	11147
726	6359	11135
727	6366	11123
728	6373	11112
729	6380	11100
730	6387	11088
731	6395	11079
732	6403	11067
733	6410	11056
734	6417	11044
735	6424	11032
736	6431	11021
737	6439	11011
738	6446	11000
739	6454	10990
740	6461	10978
741	6468	10967
742	6475	10955
743	6482	10943
744	6490	10932
745	6497	10921
746	6504	10909
747	6511	10898
748	6518	10887
749	6525	10875
750	6532	10864
751	6539	10852
752	6546	10841
753	6553	10829
754	6560	10818
755	6567	10807
756	6574	10795
757	6583	10787
758	6593	10780
759	6600	10769
760	6608	10758
761	6615	10747
762	6622	10736
763	6629	10725
764	6636	10713
765	6644	10703
766	6651	10692
767	6658	10681
768	6666	10670
769	6673	10659
770	6680	10648
771	6687	10637
772	6694	10626
773	6702	10615
774	6709	10604
775	6716	10594
776	6725	10585
777	6733	10576
778	6740	10565
779	6748	10554
780	6756	10545
781	6764	10535
782	6771	10524
783	6778	10514
784	6786	10503
785	6793	10492
786	6800	10481
787	6807	10470
788	6815	10460
789	6822	10449
790	6832	10442
791	6841	10434
792	6847	10423
793	6855	10412
794	6864	10404
795	6871	10393
796	6879	10383
797	6886	10372
798	6894	10363
799	6901	10352
800	6909	10342
801	6916	10331
802	6923	10320
803	6930	10309
804	6937	10299
805	6945	10288
806	6952	10278
807	6959	10267
808	6966	10256
809	6973	10245
810	6980	10234
811	6987	10223
812	6994	10212
813	7002	10202
814	7009	10191
815	7016	10180
816	7023	10170
817	7032	10161
818	7040	10152
819	7049	10143
820	7056	10133
821	7063	10122
822	7070	10112
823	7081	10106
824	7089	10096
825	7096	10085
826	7104	10076
827	7168	10146
828	7205	10177
829	7222	10181
830	7233	10176
831	7251	10180
832	7267	10180
833	7280	10178
834	7291	10173
835	7301	10165
836	7310	10158
837	7319	10149
838	7328	10141
839	7339	10135
840	7348	10127
841	7358	10119
842	7366	10110
843	7375	10101
844	7385	10094
845	7393	10085
846	7401	10075
847	7461	10135
848	7501	10169
849	7516	10169
850	7533	10171
851	7546	10168
852	7555	10159
853	7564	10150
854	7572	10141
855	7581	10132
856	7588	10120
857	7595	10109
858	7603	10098
859	7612	10090
860	7620	10081
861	7628	10071
862	7636	10060
863	7643	10049
864	7651	10040
865	7660	10030
866	7667	10020
867	7675	10009
868	7682	9998
869	7690	9988
870	7697	9978
871	7708	9972
872	7718	9963
873	7725	9953
874	7734	9944
875	7743	9936
876	7751	9926
877	7760	9916
878	7768	9907
879	7785	9908
880	7803	9911
881	7818	9910
882	7831	9906
883	7841	9899
884	7857	9899
885	7868	9893
886	7877	9884
887	7886	9875
888	7895	9866
889	7903	9857
890	7912	9847
891	7920	9838
892	7927	9827
893	7936	9818
894	7944	9808
895	7952	9798
896	7960	9789
897	7971	9782
898	7981	9774
899	7989	9765
900	7999	9757
901	8008	9748
902	8018	9740
903	8027	9732
904	8036	9723
905	8044	9714
906	8054	9706
907	8065	9699
908	8074	9691
909	8083	9682
910	8093	9674
911	8103	9666
912	8111	9657
913	8120	9648
914	8130	9640
915	8139	9632
916	8148	9623
917	8158	9615
918	8167	9607
919	8176	9598
920	8186	9590
921	8194	9581
922	8204	9573
